Title ,Year ,Director ,Country ,ASL 
Rooster Cogburn ,1975,"Millar, Stuart ",USA ,5.4
Rope ,1948,"Hitchcock, Alfred ",USA ,1000
Rose Marie ,1936,"Van Dyke, W.S. ",USA ,7
Rose Marie ,1954,"LeRoy, Mervyn ",USA ,12
Rose of Cimarron ,1952,"Keller, Harry ",USA ,6.56
"Rose Tattoo, The ",1955,"Mann, Daniel ",USA ,16
Roseanna McCoy ,1949,"Reis, Irving ",USA ,9.8
Roseanna's Grave ,1996,"Weiland, Paul ",,5.8
"Roseaux sauvages, les ",1994,"Téchiné, André ",FRA ,10.9
Roselyne et les Lions ,1989,"Beineix, Jean-Jacques ",FRA ,6.3
Rosemary's Baby ,1968,"Polanski, Roman ",USA ,14.66
"Rosengarten, der ",1989,"Rademakers, Fons ",,9.5
Rosenkrantz and Guildenstern are Dead ,1990,"Stoppard, Tom ",,4.31
Rosetta ,1999,"Dardenne, Jean-Paul & Luc ",FRA ,38.9
Rosewood ,1997,"Singleton, John ",USA ,5.4
Rosie Dixon: Night Nurse ,1978,"Cartwright, Justin ",BRI ,6.6
Rotation ,1949,"Staudte, Wolfgang ",GER ,16.5
Roughshod ,1949,"Robson, Mark ",USA ,6.9
Round Ireland With a Fridge ,2010,"Bye, Ed ",BRI ,4.02
"Round Midnight,' ",1986,"Tavernier, Bertrand ",,12.1
Rounders ,1998,"Dahl, John ",USA ,5.4
"Rounders, The ",1965,"Kennedy, Burt ",USA ,6.5
Roundup ,1941,"Selander, Lesley ",USA ,9.9
"Round-up, The ",1920,"Melford, George ",USA ,5.5
Roxanne ,1987,"Schepisi, Fred ",USA ,7.54
Roxie Hart ,1942,"Wellman, William ",USA ,6.5
"Royal Family, The ",1915,"Frohman, Charles ",USA ,7.2
"Royal Tenenbaums, The ",2001,"Anderson, Wes ",USA ,6.9
Royal Wedding ,1951,"Donen, Stanley ",USA ,31
R-Point ,2004,Kong Su-Chang ,KOR ,6.19
Ruby and Rata ,1990,"Preston, Gaylene ",NZE ,7.4
Rude Awakening ,1989,"Russo, Aaron & Greenwalt, ",,6.84
Rude Boy ,1980,"Hazan, J. & Mingay, D. ",BRI ,9
Rudy ,1993,"Anspaugh, David ",USA ,5.6
"Ruins, The ",2008,"Smith, Carter ",,4.01
Rules of Attraction ,2002,"Avary, Roger ",,4.53
Rules of Engagement ,2000,"Friedkin, William ",USA ,6.1
Rules of Obsession ,1994,"King, Rick ",USA ,6.3
"Ruling Class, The ",1972,"Medak, Peter ",BRI ,8.5
"Rum Diary, The ",2011,"Robinson, Bruce ",USA ,5.39
Rumble Fish ,1983,"Coppola, Francis ",USA ,6.9
Rumble in the Bronx ,1996,"Tong, Stanley ",USA ,2.86
Rumor Has It… ,2005,"Reiner, Rob ",,5.24
Rumpelstiltskin ,1995,"Jones, Mark ",USA ,4.2
Run ,1991,"Burrowes, Geoff ",USA ,3
Run Fatboy Run ,2007,"Schwimmer, David ",BRI ,2.94
Run for the Sun ,1956,"Boulting, Roy ",USA ,7.3
"Run for Your Money, A ",1949,"Frend, Charles ",BRI ,8.2
Run of the Arrow ,1957,"Fuller, Samuel ",USA ,10.68
"Run of the Country, The ",1995,"Yates, Peter ",IRE ,6.4
"Run Silent, Run Deep ",1956,"Wise, Robert ",USA ,5.84
Runaway ,1984,"Crichton, Michael ",USA ,5.2
Runaway Bride ,1999,"Marshall, Garry ",USA ,4.6
Runaway Jury ,2003,"Fleder, Gary ",USA ,2.31
Runaway Train ,1985,"Konchalovsky, Andrei ",,5.07
"Runaways, The ",2010,"Sigismondi, Floria ",USA ,5.78
Rund um eine Million ,1933,"Neufeld, Max ",GER ,18
"Rundown, The ",2003,"Berg, Peter ",USA ,1.97
Rundskop ,2011,"Roskam, Michael R. ",,5.99
"Running Man, The ",1963,"Reed, Carol ",BRI ,7.7
"Running Man, The ",1987,"Glaser, Paul Michael ",USA ,2.59
Running Scared ,1986,"Hyams, Peter ",USA ,4.13
Running Scared ,2005,"Kramer, Wayne ",USA ,3.77
Running Wild ,1992,"McLachlan, Duncan ",,4.2
Runway ,2010,"Masud, Tareque ",,7.11
Rush Hour ,1998,"Ratner, Brett ",USA ,3.2
Rush Hour 2 ,2000,"Ratner, Brett ",USA ,3.4
Rush Hour 3 ,2007,"Ratner, Brett ",,2.53
Rushmore ,1998,"Anderson, Wes ",USA ,6.4
"Russia House, The ",1990,"Schepisi, Fred ",FRA ,7.94
"Russians are Coming, The Russians are Comi ",1966,"Jewison, Norman ",USA ,6.4
Russkies ,1987,"Rosenthal, Rick ",USA ,4.3
Ruthless People ,1986,"Abrahams, J & Zucker, J&D ",USA ,5.48
RV ,2006,"Sonnenfeld, Barry ",,3.69
Ryan's Daughter ,1970,"Lean, David ",BRI ,8.7
Rynox ,1931,"Powell, Michael ",BRI ,12.3
Rythm Thief ,1994,"Harrison, Matthew ",USA ,17.1
S Club: Seeing Double ,2003,"Dick, Nigel ",,2.84
S.F.W. ,1994,"Levy, Jefery ",USA ,6.7
S.O.S. Pacific ,1959,"Green, Guy ",BRI ,5.38
S.V.D. ,1927,Kozintsev & Trauberg ,RUS ,4.5
S1m¨ne ,2002,"Niccol, Andrew ",USA ,4.41
Saajan ,1991,"D'Souza, Lawrence ",IND ,7.7
Saaz ,1997,"Paranjpye, Sai ",IND ,10.7
Sabotage ,1937,"Hitchcock, Alfred ",BRI ,7.5
Saboteur ,1942,"Hitchcock, Alfred ",USA ,7
Sabrina ,1954,"Wilder, Billy ",USA ,15.28
Sabrina ,1995,"Pollack, Sydney ",USA ,4.8
Sabu and the Magic Ring ,1958,"Blair, George ",USA ,9.3
Sacrifice ,2000,Lester. Mark L. ,USA ,3.1
"Sad Horse, The ",1959,"Clark, James B. ",USA ,8.6
"Saddest Music in the World, The ",2003,"Maddin, Guy ",CAN ,2.9
Saddle the Wind ,1958,"Parrish, Robert ",USA ,6.12
Saddle Tramp ,1950,"Fregonese, Hugo ",USA ,7.6
Sadgati ,1981,"Ray, Satyajit ",IND ,8.3
Sadie McKee ,1934,"Brown, Clarence ",USA ,13.4
Safar e Ghandehar ,2001,"Makhmalbaf, Mohsen ",,12.9
Safari ,1956,"Young, Terence ",BRI ,4.86
Safe ,1995,"Haynes, Todd ",USA ,14.3
Safe ,2011,"Yakin, Boaz ",USA ,3.27
Safe in Hell ,1931,"Wellman, William ",USA ,7.5
Safe Passage ,1994,"Ackerman, Robert Allen ",USA ,5.6
"Safety of Objects, The ",2001,"Troche, Rose ",USA ,5.09
"Saga of Hemp Brown, The ",1958,"Carlson, Richard ",USA ,8
Sahara ,2005,"Eisner, Breck ",USA ,2.38
Sailor be Good ,1933,"Cruze, James ",USA ,13.5
Sailor Beware! ,1956,"Parry, G. ",BRI ,6.5
"Sailor From Gibraltar, The ",1966,"Richardson, Tony ",BRI ,7.5
Sailor of the King ,1953,"Boulting, Roy ",BRI ,6.51
"Sailor's Tattoo, A ",1995,"Fleming, Erik ",USA ,4.5
Sailors Three ,1940,"Forde, Walter ",BRI ,6.5
"Saint in London, The ",1939,"Carstairs, John Paddy ",BRI ,9.2
"Saint in New York, The ",1938,"Homes, Ben ",USA ,7.6
"Saint in Palm Springs, The ",1941,"Hively, Jack ",USA ,7.69
Saint Jack ,1979,"Bogdanovich, Peter ",USA ,11.6
Saint Joan ,1957,"Preminger, Otto ",BRI ,25
"Saint Meets the Tiger, The ",1943,"Stein, Paul ",USA ,7.92
"Saint Strikes Back, The ",1939,"Farrow, John ",USA ,8.5
"Saint Takes Over, The ",1940,"Hively, Jack ",USA ,7.6
"Saint, The ",1997,"Noyce, Phillip ",USA ,3.53
Saints and Soldiers ,2003,"Little, Ryan ",USA ,3.13
"Saint's Double Trouble, The ",1940,"Hively, Jack ",USA ,6.16
"Saint's Vacation, The ",1941,"Fenton, Leslie ",BRI ,7.1
Salmon Fishing in the Yemen ,2011,"Hallström, Lasse ",BRI ,5.25
Salmonberries ,1991,"Adlon, Percy ",GER ,8.2
Salome ,1953,"Dieterle, William ",USA ,9.26
Salome's Last Dance ,1988,"Russell, Ken ",BRI ,9.9
Salon Kitty ,1976,"Brass, Giovanni Tinto ",,5.3
Salt ,2010,"Noyce, Phillip ",USA ,2.5
Saltwater ,2000,"McPherson, Conor ",IRE ,4.6
Salut Cousin! ,1996,"Allouache, Merzak ",,16
Salvador ,1984,"Stone, Oliver ",USA ,7.58
Sam Whiskey ,1969,"Laven, Arnold ",USA ,5.88
Samba Traore ,1992,"Ouedraogo, Idrissa ",BUF ,24
Sam's Son ,1984,"Landon, Michael ",USA ,11.2
Samson & Delilah ,2009,"Thornton, Warwick ",AUS ,10.93
Samson and Delilah ,1949,"DeMille, Cecil B. ",USA ,8.5
Samson und Delila ,1922,"Korda, Alexander ",OST ,5.7
"San Demetrio, London ",1943,"Frend, Charles ",BRI ,8.16
San Francisco ,1936,"Van Dyke II, W.S. ",USA ,9
Sanctum ,2011,"Grierson, Alister ",,3.95
"Sand Pebbles, The ",1966,"Wise, Robert ",USA ,4.8
Sanders of the River ,1935,"Korda, Zoltan ",BRI ,5.6
"Sandlot, The ",1993,"Evans, David Mickey ",USA ,3.6
Sands of Iwo Jima ,1949,"Dwan, Allan ",USA ,7.9
Sands of the Kalhari ,1965,"Endfield, Cy ",BRI ,7.1
"Sandwich Man, The ",1966,"Hartford-Davis, Robert ",BRI ,5.6
Sangam ,1964,"Kapoor, Raj ",IND ,9.5
Sangre de virgenes ,1967,"Vieyra, Emilio ",ARG ,6.6
Sans Lendemain ,1939,"Ophuls, Max ",FRA ,8
Sansho Dayu ,1954,"Mizoguchi, Kenji ",JAP ,24
Santa Claus: The Movie ,1985,"Szwarc, Jeannot ",USA ,4.16
"Santa Clause 2, The ",2002,"Lembeck, Michael ",USA ,3.02
"Santa Clause 3: The Escape Clause, The ",2006,"Lembeck, Michael ",USA ,3.29
"Santa Clause, The ",1994,"Pasquin, John ",USA ,4.11
Santa Fe ,1951,"Pichel, Irving ",USA ,8.1
Santa Fe Passage ,1955,"Witney, William ",USA ,6.9
Santa Sangre ,1989,"Jodorowsky, Alejandro ",ITA ,9
Santa With Muscles ,1996,"Murlowski, John ",USA ,3.31
Santee ,1973,"Nelson, Gary ",USA ,5.8
Sappho ,1921,"Buchowetzki, Dmitri ",GER ,7
Sarah and Son ,1930,"Arzner, Dorothy ",USA ,12.2
Saratoga ,1937,"Conway, Jack ",USA ,12.3
Saskatchewan ,1954,"Walsh, Raoul ",USA ,6.8
Såsom i en spegel ,1961,"Bergman, Ingmar ",SWE ,16.4
"Satan Bug, The ",1969,"Sturges, John ",USA ,8.19
Satan Never Sleeps ,1962,"McCarey, Leo ",USA ,8
"Satanic Rites of Dracula, The ",1973,"Gibson, Alan ",BRI ,4.2
Satan's Slave ,1976,"Warren, Norman J. ",BRI ,8.7
Satr Wars VI: Return of the Jedi ,1983,"Marquand, Richard ",USA ,3.47
Saturday Night and Sunday Morning ,1960,"Reisz, Karel ",BRI ,9.7
Saturday Night Fever ,1977,"Badham, John ",,5.9
Saturday Night Out ,1963,"Hartford-Davis, Robert ",BRI ,9.5
Saturday's Children ,1940,"Sherman, Vincent ",USA ,10
Saturn 3 ,1980,"Donen, Stanley ",BRI ,4.23
Sauve qui peut (La Vie) ,1980,"Godard, Jean-Luc ",FRA ,23
Savage Grace ,2007,"Kalin, Tom ",,4.78
Savage Messiah ,1972,"Russell, Ken ",BRI ,8
"Savages, The ",2007,"Jenkins, Tamara ",USA ,5.24
Savannah Smiles ,1982,"DeMoro, Pierre ",USA ,6.8
Save the Last Dance ,2000,"Carter, Thomas ",USA ,3.7
Saved! ,2004,"Dannelly, Brian ",USA ,3.47
Saving Private Ryan ,1998,"Spielberg, Steven ",USA ,8.4
Saving Silverman ,2001,"Dugan, Denis ",USA ,3.5
Savior ,1997,"Antonijevic, Peter ",USA ,5.4
Saw ,2004,"Wan, James ",USA ,2.7
Saw II ,2005,"Bousman, Darren Louis ",USA ,1.74
Saw IV ,2007,"Bousman, Darren Lynn ",USA ,1.92
"Sawdust Ring, the ",1917,"Miller, Charles ",USA ,7
Say Anything… ,1989,"Crowe, Cameron ",USA ,5.93
Say It Isn't So ,2001,"Rogers, J.B. ",USA ,4.07
Say It With Flowers ,1934,"Baxter, John ",BRI ,22
"Say Yes"""" ",1986,"Yust, Larry ",USA ,6.7
Sayonara ,1957,"Logan, Joshua ",USA ,8.4
"Scalphunters, The ",1968,"Pollack, Sydney ",USA ,4.5
Scandal ,1988,"Caton-Jones, Michael ",BRI ,8.5
Scandalous ,1983,"Cohen, Rob ",USA ,6.33
Scanner Cop ,1994,"David, Pierre ",USA ,3.4
"Scanner Darkly, A ",2006,"Linklater, Richard ",USA ,4.78
Scanners ,1980,"Cronenberg, David ",CAN ,4.86
"Scapegoat, The ",1959,"Hamer, Robert ",BRI ,13
Scaramouche ,1952,"Sidney, George ",USA ,6.78
Scarface ,1983,"De Palma, Brian ",USA ,5.98
"Scarlet Blade, The ",1963,"Gilling, John ",BRI ,5.8
"Scarlet Claw, The ",1944,"Neill, Roy William ",USA ,8.6
"Scarlet Empress, The ",1934,"Sternberg, Josef von ",USA ,10
"Scarlet Hour, The ",1956,"Curtiz, Michael ",USA ,10
"Scarlet Letter, The ",1995,"Joffé, Roland ",USA ,6.6
"Scarlet Pimpernel, The ",1934,"Young, Harold ",BRI ,6.68
Scarlet Street ,1945,"Lang, Fritz ",USA ,11
Scarlet Thread ,1951,"Gilbert, Lewis ",BRI ,10.59
"Scars of Dracula, The ",1970,"Baker, Roy Ward ",BRI ,4.88
Scary Movie ,2000,"Wayans, Keenan Ivory ",USA ,3.4
Scary Movie 2 ,2001,"Wayans, Keenan Ivory ",USA ,2.4
Scary Movie 3 ,2003,"Zucker, David ",USA ,2.73
Scary Movie 4 ,2006,"Zucker, David ",USA ,2.39
Scenes From a Marriage ,1973,"Bergman, Ingmar ",SWE ,18.3
Scenes of a Sexual Nature ,2006,"Blum, Ed ",BRI ,7.22
Scent of a Woman ,1992,"Brest, Martin ",USA ,5.53
Schachnovelle ,1961,"Oswald, Gerd ",GER ,13.5
Scherben ,1921,"Pick, Lupu ",GER ,15.85
School Daze ,1988,"Lee, Spike ",USA ,8
School for Scoundrels ,1960,"Hamer, Robert ",BRI ,8.78
"School of Rock, The ",2003,"Linklater, Richard ",,5.24
Schuhpalast Pinkus ,1916,"Lubitsch, Ernst ",GER ,13
"Schwarze Kugel, die ",1913,"Hofer, Franz ",GER ,16
"Science of Sleep, The ",2005,"Gondry, Michel ",,5.42
Scooby-Doo ,2002,"Gosnell, Raja ",USA ,2.55
Scooby-Doo 2:Monsters Unleashed ,2004,"Gosnell, Raja ",USA ,2.98
Scoop ,2006,"Allen, Woody ",BRI ,14.72
Scorched ,2002,"Grazer, Gavin ",USA ,3.71
Scorcher ,2002,"Seale, James ",,3.22
"Score, The ",2001,"Oz, Frank ",,6.1
"Scorpion King, The ",2002,"Russell, Chuck ",,2.46
"Scorta, La ",1993,"Tognazzi, Ricky ",ITA ,9.1
Scott Joplin ,1977,"Kagan, Jeremy Paul ",USA ,6.3
Scott of the Antarctic ,1948,"Frend, Charles ",BRI ,8.77
Scott Pilgrom vs The World ,2010,"Wright, Edgar ",,2.42
"Scout, The ",1994,"Ritchie, Michael ",USA ,4
"Scouting Book for Boys, The ",2009,"Harper, Tom ",BRI ,4.42
Scre4m ,2011,"Craven, Wes ",USA ,3.24
Scream ,1996,"Craven, Wes ",USA ,4.2
Scream 2 ,1997,"Craven, Wes ",USA ,3.9
Scream 3 ,1999,"Craven, Wes ",USA ,3.4
Scream of Fear ,1961,"Holt, Seth ",BRI ,6.32
Screamers ,1995,"Duguay, Christian ",USA ,3.8
Scrooge ,1951,"Desmond-Hurst, Brian ",BRI ,11.71
Scrooge ,1970,"Neame, Ronald ",BRI ,8.5
Scrooged ,1988,"Donner, Richard ",USA ,3.11
Scum ,1979,"Clarke, Alan ",BRI ,8.9
"Sea Chase, The ",1955,"Farrow, John ",USA ,9.1
Sea Devils ,1953,"Walsh, Raoul ",USA ,7.5
"Sea Gull, The ",1968,"Lumet, Sidney ",BRI ,18.5
"Sea Gypsies, The ",1978,"Rafill, Stewart ",USA ,4.8
"Sea Hawk, The ",1940,"Curtiz, Michael ",USA ,6.03
"Sea Lion, The ",1921,"Lee, Rowland V. ",USA ,5
Sea of Sand ,1958,"Green, Guy ",BRI ,6.52
Sea Wife ,1957,"McNaught, Bob ",BRI ,6.8
"Sea Wolves, The ",1980,"McLagen, Andrew V. ",,4
Seabiscuit ,2003,"Ross, Gary ",USA ,3.68
Sealed Cargo ,1951,"Werker, Alfred ",USA ,6.56
Séance on a Wet Afternoon ,1964,"Forbes, Bryan ",BRI ,8.25
"Search, The ",1948,"Zinnemann, Fred ",USA ,10.8
Searchers 2.0 ,2007,"Cox, Alex ",,8.15
"Searchers, The ",1956,"Ford, John ",USA ,10.07
Season of the Witch ,1972,"Romero, George A. ",USA ,3.8
Season of the Witch ,2010,"Sena, Dominic ",USA ,2.56
Seasons of the Heart ,1993,"Christensen, T.C. ",USA ,7.2
Sebastiane ,1976,"Jarman, D. & Humfress, P. ",BRI ,8.94
Second Best ,1993,"Menges, Chris ",USA ,6.4
Second Chorus ,1940,"Potter, H.C. ",USA ,9.2
Second in Command ,2006,"Fellows, Simon ",,2.57
"Second Jungle Book: Mowgli and Baloo, The ",1997,"McLachlan, Duncan ",USA ,2.53
"Second Woman, The ",1951,"Kerr, James V. ",USA ,14.16
Secondhand Lions ,2003,"McCanlies, Tim ",USA ,3.78
Seconds ,1966,"Frankenheimer, John ",USA ,7.6
"Secret Agent Club, The ",1996,"Murlowski, John ",USA ,2.7
"Secret Agent, The ",1936,"Hitchcock, Alfred ",BRI ,7.5
"Secret Beyond the Door, The ",1948,"Lang, Fritz ",USA ,10.5
Secret Ceremony ,1968,"Losey, Joseph ",BRI ,15.5
Secret Games 3 ,1995,"Hippolyte, Gregory ",USA ,7.5
"Secret Garden, The ",1949,"Wilcox, Fred M. ",USA ,10
"Secret Garden, The ",1993,"Holland, Agnieszka ",USA ,6.6
"Secret Life of Bees, The ",2008,"Prince-Blythewood, Gina ",USA ,4.97
Secret Mission ,1942,"French, Harold ",BRI ,12.7
"Secret of My Success, The ",1987,"Ross, Herbert ",USA ,5.62
Secret of the Incas ,1954,"Hopper, Jerry ",USA ,7.9
"Secret Partner, The ",1961,"Dearden, Basil ",BRI ,7.4
Secret People ,1951,"Dickinson, Thorold ",BRI ,9
"Secret Rapture, The ",1993,"Davies, Howard ",BRI ,7.2
"Secret War of Harry Frigg, The ",1968,"Smight, Jack ",USA ,8.86
Secret Window ,2004,"Koepp, David ",USA ,5.01
"Secret, le ",2000,"Wagon, Virginie ",FRA ,12
Secretariat ,2010,"Wallace, Randall ",USA ,4.63
Secretary ,2001,"Shainberg, Steven ",USA ,5.13
"Secreto de sus ojos, el ",2009,"Campanella, Juan José ",,7.98
Secrets and Lies ,1995,"Leigh, Mike ",BRI ,7.5
Secrets of the Phantom Caverns ,1984,"Sharp, Don ",BRI ,6.2
"See No Evil, Hear No Evil ",1989,"Hiller, Arthur ",USA ,5.12
See Spot Run ,2001,"Whitesell, John ",,2.8
Seed of Chucky ,2004,"Mancini, Don ",USA ,3.71
Seeds of Doubt ,1996,"Foldy, Peter ",CAN ,5.4
"Seeker: The Dark Is Rising, The ",2007,"Cunningham, David L. ",USA ,2.37
"Seekers, The ",1954,"Annakin, Ken ",BRI ,5.7
Seeking a Friend for the End of the World ,2011,"Scafaria, Loene ",,5.08
Seema ,1955,"Chakravarti, Amiya ",IND ,16.9
Seems Like Old Times ,1980,"Sandrich, Jay ",USA ,7.2
Selena ,1997,"Nava, Gregory ",USA ,4
"Selfish Giant, The ",2013,"Barnard, Clio ",BRI ,5.86
"Sellout, The ",1951,"Mayer, Gerald ",USA ,11.1
"Sellout, The ",1975,"Collinson, Peter ",,4.6
Semi-Pro ,2008,"Alterman, Kent ",USA ,3.01
Send Me No Flowers ,1964,"Jewison, Norman ",USA ,11.96
Sensatzionsprozess Casilla ,1939,"Borsody, Edouard von ",GER ,11
Sense and Sensibility ,1995,"Lee, Ang ",USA ,6.5
Senseless ,1998,"Spheeris, Penelope ",USA ,3.4
"Sentinel, The ",2006,"Johnson, Clark ",USA ,2.79
Separate Lies ,2004,"Fellowes, Julian ",BRI ,5.14
Separate Lives ,1995,"Madden, David ",USA ,6.5
September ,1987,"Allen, Woody ",USA ,32
30-Sep-55,1979,"Bridges, James ",,11.8
Seraphim Falls ,2006,"Ancken, David Von ",USA ,4.1
Serena ,1962,"Maxwell, Peter ",BRI ,9.5
Serenade ,1956,"Mann, Anthony ",USA ,11.5
Serendipity ,2001,"Chelsom, Peter ",USA ,5
Serenity ,2005,"Whedon, Josh ",USA ,2.55
Sergeant Madden ,1939,"Sternberg, Josef von ",USA ,9
Sergeant Rutledge ,1960,"Ford, John ",USA ,9.85
Sergeant York ,1941,"Hawks, Howard ",USA ,7.5
"Sergeant, The ",1968,"Flynn, John ",USA ,6.8
Serial Mom ,1994,"Waters, John ",USA ,3.16
Series 7: The Contenders ,2001,"Minahan, Daniel ",USA ,5.17
"Serious Man, A ",2009,"Coen, Joel & Ethan ",,4.95
"Serpent, le ",2006,"Barbier, Eric ",FRA ,3.45
"Serpent's Egg, The ",1977,"Bergman, Ingmar ",,13.5
Serpent's Lair ,1995,"Reiner, Jeffrey ",USA ,7
Serpico ,1973,"Lumet, Sidney ",USA ,6.5
Sesame Street presents: Follow that Bird ,1985,"Kwapis, Ken ",USA ,6.5
Set It Off ,1996,"Gray, F. Gary ",USA ,4.1
Set Up ,2011,"Gunther, Mike ",USA ,4
"Set-Up, The ",1949,"Wise, Robert ",USA ,6.74
Seven ,1995,"Fincher, David ",USA ,4.5
Seven Brides for Seven Brothers ,1954,"Donen, Stanley ",USA ,11.33
Seven Day's Leave ,1942,"Whelan, Tim ",USA ,7
Seven Days to Noon ,1950,"Boulting, John & Roy ",BRI ,7.7
"Seven Faces of Dr. Lao, The ",1963,"Pal, George ",USA ,5.7
Seven Footprints to Satan ,1929,"Christensen, Benjamin ",USA ,5
Seven Hills of Rome ,1957,"Rowland, Roy ",USA ,10.8
Seven Islands and a Metro ,2006,"Dutta, Madhushree ",IND ,10.74
Seven Little Foys ,1955,"Shavelson, Melville ",USA ,13.26
Seven Men From Now ,1956,"Boetticher, Budd ",USA ,6
Seven Pounds ,2008,"Muccino, Gabriel ",USA ,6.81
Seven Ways from Sundown ,1960,"Keller, Harry ",USA ,8.2
Seven Women ,1966,"Ford, John ",USA ,8.6
"Seven Year Itch, The ",1955,"Wilder, Billy ",USA ,23.9
Seven Years in Tibet ,1997,"Annaud, Jean-Jacques ",USA ,4.7
"Seventh Sign, The ",1988,"Schultz, Carl ",USA ,5.89
"Seventh Veil, The ",1945,"Bennet, Compton ",BRI ,11.65
"Seventh Victim, The ",1943,"Robson, Mark ",USA ,8.3
"Seventh Voyage of Sinbad, The ",1958,"Juran, Nathan ",USA ,4.5
"Seven-Ups, The ",1973,"D'Antoni, Philip ",USA ,5.4
Severance ,2006,"Smith, Christopher ",BRI ,4.23
Severed Ties ,1992,"Santostefano, D & Roberts ",USA ,4.6
Sex & Drugs & Rock & Roll ,2009,"Whitecross, Matt ",BRI ,2.49
Sex and Lucia ,2001,"Medem, Julio ",,4.2
Sex and the City: The Movie ,2008,"King, Michael Patrick ",,3.63
Sex Drive ,2008,"Anders, Sean ",USA ,3.59
Sex Lives of the Potato Men ,2003,"Humphries, Andy ",BRI ,5.99
"Sex, Lies and Videotape ",1989,"Soderbergh, Steven ",USA ,11.5
Sexton Blake and the Hooded Terror ,1938,"King, George ",BRI ,11.4
Sexual Magic ,2001,"Holzman, Edward R. ",USA ,5.6
Sexual Malice ,1994,"Mundhra, Jag ",USA ,7.7
Sexy Beast ,2000,"Glazer, Jonathan ",BRI ,4.1
Sgt Kabukiman NYPD ,1991,"Kaufman, L. & Herz, M. ",USA ,3.8
Sgt. Bilko ,1996,"Lynn, Jonathan ",USA ,4.7
Shadow Conspiracy ,1997,"Cosmatos, George Pan ",USA ,4
Shadow Dancer ,2012,"Marsh, James ",,6.67
Shadow Man ,2006,"Keusch, Michael ",,2.84
Shadow of a Doubt ,1943,"Hitchcock, Alfred ",USA ,9
Shadow of a Man ,1954,"McCarthy, Michael ",BRI ,17.6
"Shadow of the Thin Man, The ",1941,"Van Dyke, W.S. ",USA ,6.5
Shadow of the Vampire ,2000,"Merhige, E. Elias ",,6.4
Shadow Warriors II: Assault on Death Mount ,1999,"Cassar, John ",USA ,3
"Shadow, The ",1994,"Mulcahy, Russell ",USA ,3.97
Shadowlands ,1993,"Attenborough, Richard ",BRI ,8.2
Shadows ,1959,"Cassavetes, John ",USA ,7.15
Shaft ,2000,"Singleton, John ",,3.33
Shaft's Big Score ,1972,"Parks, Gordon ",USA ,6.7
"Shaggy DA, The ",1976,"Stevenson, Robert ",USA ,4.15
"Shaggy Dog, The ",2006,"Robbins, Brian ",USA ,3.52
Shake Hands with the Devil ,1959,"Anderson, Michael ",USA ,6.9
"Shake, Rattle and Roll ",1957,"Cahn, Edward L. ",USA ,8.9
Shakespeare in Love ,1998,"Madden, John ",USA ,3.9
Shakespeare Wallah ,1965,"Ivory, James ",IND ,20.4
Shalako ,1968,"Dmytryk, Edward ",,5.31
Shall We Dance ,1937,"Sandrich, Mark ",USA ,10
Shall We Dance ,2004,"Chelsom, Peter ",USA ,4.42
Shallow Grave ,1994,"Boyle, Danny ",BRI ,4.84
Shallow Hal ,2001,"Farrelly, Bobby & Peter ",USA ,6
Shame ,2011,"McQueen, Steve ",BRI ,22.63
Shampoo ,1975,"Ashby, Hal ",USA ,9.1
Shane ,1953,"Stevens, George ",USA ,5
Shanghai Dreams ,2005,Wang Xiaoshouai ,CHI ,15.88
Shanghai Express ,1932,"Sternberg, Josef von ",USA ,9.5
"Shanghai Gesture, The ",1941,"Sternberg, Josef von ",USA ,8.59
Shanghai Joe ,1974,"Albertini, Bitto ",ITA ,8.2
Shanghai Knights ,2002,"Dobkin, David ",USA ,3.11
Shanghai Noon ,2000,"Dey, Tom ",USA ,3.2
Shanghai Panic ,2001,"Chen, Andrew ",CHI ,18.6
Shanghai Surprise ,1994,"Goddard, Jim ",BRI ,5.2
Shanghai Triad ,1995,Zhang Yimou ,,11.1
Shaolin Soccer ,2001,"Chow, Stephen ",CHI ,3.77
"Shape of Things, The ",2003,"LaBute, Neil ",,7.57
Shark Attack ,1999,"Misiorowski, Bob ",USA ,3
Shatranj ke Khilari ,1977,"Ray, Satyajit ",IND ,8.6
Shattered Glass ,2003,"Ray, Billy ",USA ,4.01
Shaun of the Dead ,2004,"Wright, Edgar ",BRI ,2.71
"Shawshank Redemption, The ",1994,"Darabont, Francis ",USA ,7.45
Shchindler's List ,1993,"Spielberg, Steven ",USA ,8.53
She ,1965,"Day, robert ",BRI ,4.2
"She Beast, The ",1965,"Reeves, Michael ",,6.2
She Couldn't Say No ,1954,"Bacon, Lloyd ",USA ,8.1
She Freak ,1967,"Mabe, Byron ",USA ,10.3
She Married Her Boss ,1935,"La Cava, Gregory ",USA ,11.36
She Wore a Yellow Ribbon ,1949,"Ford, John ",USA ,11.28
"She, a Chinese ",2009,Guo Xiaolu ,,7.97
"She-Creature, The ",1956,"Cahn, Edward L. ",USA ,8.8
"Sheepman, The ",1958,"Marshall, George ",USA ,9.06
She'll Have to Go ,1961,"Asher, Robert ",BRI ,5.4
"Sheltering Sky, The ",1990,"Bertolucci, Bernardo ",BRI ,11.2
Shenandoah ,1965,"McLagen, Andrew ",USA ,5.5
"Shepherd of the Hills, The ",1941,"Hathaway, Henry ",USA ,7.98
"Sheriff of Fractured Jaw, The ",1958,"Walsh, Raoul ",BRI ,6.8
